TIC,bjd0,bjd0_uncert,period,period_uncert,morph,morph_dist,ra,dec,tmag,glon,glat,teff,logg,abun
300972613,1354.708366,0.775515122,0.776116626,3.07E-06,0.435211961,0.003560949,10.771111,-47.304695,11.06,307.027324,-69.757074,NaN,NaN,NaN
141126559,1412.28171,0.775787736,0.776664238,4.07E-06,0.898424319,0.001978582,80.55611269,-71.93852109,10.598,283.0339434,-32.56343763,8389,3.9361,NaN
137408962,1684.656377,0.776151233,0.777008832,1.59E-05,0.710739299,0.000208037,291.992978,41.88412649,11.9437,74.3330919,11.49309558,6107.81,3.30559,0.0195169
299032481,1683.565814,0.783298918,0.777107868,0.000118752,0.897123591,0.014460809,288.5773343,48.12952356,11.5502,79.1530013,16.28220522,6421.83,3.75947,-0.296111
140212820,1439.25092,0.777424544,0.777676592,8.82E-06,0.584954005,7.38E-05,84.96830095,-30.76576304,11.9762,235.2030214,-27.91647081,6612,4.13072,NaN
228760807,1571.437617,0.779913023,0.777979452,3.22E-06,0.492833225,0.00081301,194.1014104,-27.39058288,9.4586,304.2858848,35.46810459,5320,NaN,NaN
11002748,1439.194021,0.778653632,0.778698698,3.13E-05,0.887455201,0.001307627,56.20413949,-3.078622126,11.6115,190.4724372,-42.12792541,7402,4.00059,NaN
198037741,1355.298798,0.779600289,0.779984941,2.07E-07,0.87857604,0.001237719,61.65370701,-56.57527867,8.5467,267.2599464,-44.71034666,7274,3.83971,NaN
28498786,1817.058294,0.780435444,0.781782016,2.27E-05,0.781027236,0.005399068,67.85879402,44.40120368,11.0109,158.7954343,-2.618067498,NaN,NaN,NaN
440796977,1492.350003,0.169718326,0.782139366,0.000282722,0.738178772,0.015902309,109.2585295,14.78018027,12.7918,202.4424718,12.2534156,3565,4.89284,NaN
198076334,1354.239886,0.784725167,0.782602702,2.12E-06,0.59491435,0.003055442,63.65039147,-59.08967836,8.2054,270.0423055,-42.86168501,5854.39,3.61858,NaN
220402290,1386.160592,0.000153975,0.785236397,3.13E-06,0.87080216,0.000879671,69.57945923,-57.20383833,11.5681,266.4608649,-40.37779892,5817.04,4.36524,0.0557971
220402294,1545.564215,0.78435438,0.785241311,1.50E-06,0.84603404,0.00021842,69.55982014,-57.19215827,11.2216,266.4488882,-40.3906982,7258,4.05605,NaN
163965682,1711.050297,0.785837395,0.785860609,1.31E-05,0.949014222,0.001190787,321.2514885,33.68748253,7.98507,81.1267475,-11.94571539,6717,3.7314,NaN
271158877,1684.202136,0.785431182,0.7862558,3.56E-06,0.87585965,0.000747884,294.5265382,43.39645608,10.4333,76.5660991,10.51574721,4829.37,NaN,0.144162
280055342,1629.248152,0.785773617,0.786593841,4.35E-06,0.850033789,0.001430414,237.237214,-36.65563531,9.0537,338.2199082,13.77388247,6086,3.88093,NaN
193627658,1984.297473,7.29E-05,0.787169216,7.05E-07,0.836334735,0.000629748,266.5626784,45.39216633,11.0573,71.82550803,30.0006753,6245,3.80053,NaN
273865522,1684.68003,0.788666082,0.788603183,8.36E-06,0.935417064,0.003458299,298.2065177,44.66463207,11.1016,78.98088003,8.801193747,6929,3.79654,NaN
35516889,1544.41163,0.787970489,0.788838467,4.15E-07,0.595162186,0.001198943,148.4169854,-45.65918222,11.6044,273.4055157,6.775923272,5503,4.40081,0.21
120576722,1684.548606,0.788743182,0.789176163,4.70E-07,0.795408019,0.000740085,285.5196349,41.5500954,11.1566,71.96775633,15.75533688,5006.03,NaN,-0.430532
31415131,1545.570288,0.788830319,0.789604874,2.64E-06,0.80937387,0.000603076,88.90057685,-70.21865553,12.4987,280.6176494,-30.11478037,6397.94,4.01748,-0.709897
308451526,1545.158299,0.788856838,0.789659233,1.03E-06,0.732535283,0.001215327,120.7333177,-64.07358816,11.1666,277.1536177,-16.897665,3844,4.42045,NaN
375160191,1684.7809,0.788974364,0.790413078,3.33E-05,0.621606776,0.00048768,294.0200777,20.92988349,13.7042,56.53283058,0.11398704,3204,4.92364,NaN
266770712,1386.735981,0.000306479,0.790466815,9.78E-07,0.869577837,0.00045368,30.05017232,-18.20782613,10.6313,187.1335577,-71.83017522,7115,4.04196,NaN
253657883,1656.573806,0.390419946,0.79076441,0.000276629,0.725981741,0.026553554,281.4782588,-39.41959187,12.7824,356.3283889,-15.84135815,4316,4.51889,NaN
233080133,1931.135615,0.792325278,0.791660358,1.66E-06,0.899465521,0.005650465,271.5623776,65.70681075,12.1018,95.4149989,29.16552014,3952,4.68541,NaN
54957535,1518.554091,0.792429558,0.792844193,2.71E-07,0.893864107,0.000463778,130.985253,-11.55765757,10.2459,237.1648576,18.64375517,7119,3.98223,NaN
470283916,1818.139043,0.794092326,0.793455995,6.22E-05,0.666109335,0.000626774,64.52075269,47.99710926,12.7999,154.6077393,-1.752355067,7838.66,3.99645,-0.076
280278364,1545.082539,0.018666847,0.793878046,0.000129027,0.884882931,0.014557935,144.1006724,-51.66721118,9.6657,275.1320989,0.355731014,5088,4.21661,NaN
362187226,1684.546531,0.793302621,0.793969892,8.42E-05,0.860947206,0.004593699,294.8049272,22.12555032,13.5292,57.93283619,0.062775133,3585,4.76548,NaN
356820646,1683.389388,0.793593459,0.794380739,9.82E-08,0.781410178,0.001680183,269.5245869,73.12379549,11.2222,103.9481206,29.73156091,6711,3.91782,NaN
260370473,1469.361724,0.793445745,0.795053202,0.000109623,0.897623104,0.009791272,95.23444449,-54.52011818,9.392,263.0967448,-26.09489034,5312,NaN,NaN
260370454,1412.113241,0.795290392,0.79509061,1.24E-05,0.898982118,0.000424933,95.25084757,-54.54912709,9.569,263.1304604,-26.09098439,6885,3.73355,NaN
165371937,1740.170291,0.795366052,0.795627685,1.27E-06,0.818279725,0.000745831,200.9875789,43.59873311,9.3222,103.2872876,72.26797339,8273,4.37514,NaN
382312052,1655.200464,0.403594808,0.797270884,0.000254886,0.823532635,0.016007667,288.0619175,-67.37600648,9.7775,328.3650755,-26.8681688,5865,4.26536,NaN
44147832,1739.612782,0.797000259,0.798089789,6.36E-05,0.700255662,0.002326062,345.0666709,34.30795031,13.2912,98.16556891,-23.16185942,5617.83,3.97423,0.019
249943198,1791.657978,0.801843765,0.798697442,4.87E-06,0.928779786,0.002115715,38.79846564,49.86033665,7.47507,139.5513642,-9.633626369,7362,3.73997,NaN
457173024,1438.238743,0.797064028,0.798916228,3.80E-05,0.896114514,0.001463248,57.67475496,1.563949167,6.2497,186.6697729,-38.21849629,6538,3.85589,NaN
160159932,1600.798572,0.800552255,0.799193645,8.23E-06,0.905157209,0.002517216,222.3818198,-40.1079125,9.4461,326.1911071,17.3708383,7013,3.7744,NaN
97402522,1325.579033,0.002350167,0.800727786,0.000141169,0.747885437,0.012618206,332.5178139,-32.21850242,10.5525,14.69430828,-54.78593163,5272,NaN,NaN
147131974,1326.519446,0.800847055,0.801698927,1.13E-05,0.661280713,0.001610221,322.0754651,-44.15483087,10.5092,356.3117116,-46.16575771,6357,NaN,NaN
207496824,1931.387402,0.801583744,0.802700232,6.51E-08,0.913354839,0.001171277,246.9545827,58.83979311,10.7532,89.01097767,41.31954118,6748.15,3.74558,0.307
